[ 2025-03-02 12:19:16,982 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-02 12:19:17,155 ] 96 pymongo.serverSelection - INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 67c49315dc1079d2569cb5c3, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('cluster0-shard-00-00.amg20.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-01.amg20.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-02.amg20.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "67c49315dc1079d2569cb5c3"}, "remainingTimeMS": 30}
[ 2025-03-02 12:19:40,095 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-02 12:19:40,095 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-02 12:19:40,095 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-02 12:19:40,189 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-02 12:19:40,189 ] 19 root - INFO - Data Initiation Completed
[ 2025-03-02 12:19:40,216 ] 23 root - INFO - Initiate the data Validation
[ 2025-03-02 12:19:40,285 ] 32 root - INFO - Required number of columns:2
[ 2025-03-02 12:19:40,285 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-02 12:19:40,285 ] 32 root - INFO - Required number of columns:2
[ 2025-03-02 12:19:40,285 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-02 12:19:40,504 ] 25 root - INFO - data Validation Completed
